db	qf_only_table_count	vmdk_only_table_count	structure_diff_count
cdcol	0	1	0
d_channel	2	0	5
d_guild	0	0	26
d_taiwan	11	2	108
d_taiwan_secu	2	1	6
d_technical_report	0	0	42
frida	0	3	0
mysql	0	22	0
phpmyadmin	0	10	0
taiwan_billing	61	0	12
taiwan_cain	30	1	81
taiwan_cain_2nd	18	1	32
taiwan_cain_auction_cera	56	22	9
taiwan_cain_auction_gold	56	22	9
taiwan_cain_log	7	0	96
taiwan_cain_web	0	0	17
taiwan_game_event	0	0	51
taiwan_login	9	1	43
taiwan_login_play	0	0	1
taiwan_main_web	364	0	0
taiwan_mng_manager	1	0	20
taiwan_prod	11	0	24
taiwan_pvp	0	0	0
taiwan_se_event	0	0	13
taiwan_siroco	2	0	4
test	0	0	0
tw	115	0	0
